HDV_9B_S26,HDV_8B_S33,HDV_7B_S54,HDV_70B_S67,HDV_6B_S29,HDV_69B_S48,HDV_68B_S5,HDV_67B_S56,HDV_66B_S24,HDV_65B_S19,HDV_64B_S14,HDV_63B_S53,HDV_62B_S9,HDV_61B_S1,HDV_60B_S47,HDV_5B_S25,HDV_59B_2_S69,HDV_58B_S51,HDV_57B_S3,HDV_56B_S68,HDV_55B_S45,HDV_54B_S43,HDV_53B_S21,HDV_52B_S41,HDV_51B_S39,HDV_50B_S36,HDV_4B_S20,HDV_49B_S66,HDV_48B_S32,HDV_47B_S28,HDV_46B_S23,HDV_45B_S18,HDV_44B_S65,HDV_43B_S13,HDV_42B_S8,HDV_41B_S2,HDV_40B_S44,HDV_3B_S15,HDV_39B_S42,HDV_38B_S40,HDV_37B_S38,HDV_36B_S35,HDV_35B_S16,HDV_34B_S64,HDV_33B_S63,HDV_32B_S31,HDV_31B_S70,HDV_30B_S62,HDV_2B_S10,HDV_29B_S61,HDV_28B_S60,HDV_27B_S59,HDV_26B_S27,HDV_25B_S22,HDV_24B_S17,HDV_23B_S58,HDV_22B_S55,HDV_21B_S52,HDV_20B_S57,HDV_1B_S4,HDV_19B_S12,HDV_18B_S49,HDV_17B_S11,HDV_16B_S7,HDV_15B_S34,HDV_14B_S30,HDV_13B_S1,HDV_12B_S46,HDV_11B_S6,HDV_10B_S37,HDV_9A_S6,HDV_8A_S55,HDV_7A_S28,HDV_70A_S53,HDV_6A_S29,HDV_69A_S8,HDV_68A_S50,HDV_67A_S4,HDV_66A_S49,HDV_65A_S46,HDV_64A_S43,HDV_63A_S40,HDV_62A_S36,HDV_61A_S32,HDV_60A_S27,HDV_5A_S24,HDV_59A_S47,HDV_58A_S44,HDV_57A_S65,HDV_56A_S51,HDV_55A_S22,HDV_54A_S50,HDV_53A_S17,HDV_52A_S12,HDV_51A_S7,HDV_50A_S3,HDV_4A_S23,HDV_49A_S70,HDV_48A_S69,HDV_47A_S41,HDV_46A_S37,HDV_45A_S63,HDV_44A_S61,HDV_43A_S67,HDV_42A_S25,HDV_41A_S19,HDV_40A_S14,HDV_3A_S18,HDV_39A_S59,HDV_38A_S9,HDV_37A_S5,HDV_36A_S20,HDV_35A_S15,HDV_34A_S35,HDV_33A_S68,HDV_32A_S52,HDV_31A_S66,HDV_30A_S2,HDV_2A_S38,HDV_29A_S64,HDV_28A_S48,HDV_27A_S57,HDV_26A_S10,HDV_25A_S62,HDV_24A_S45,HDV_23A_S42,HDV_22A_S31,HDV_21A_S26,HDV_20A_S60,HDV_1A_S13,HDV_19A_S30,HDV_18A_S21,HDV_17A_S16,HDV_16A_S58,HDV_15A_S11,HDV_14A_S39,HDV_13A_S56,HDV_12A_S54,HDV_11A_S34,HDV_10A_S33
0.072024016,0.065460621,0.034931427,0.085020349,0.068365345,0.062798267,0.072986559,0.071362859,0.068731534,0.052858258,0.061767064,0.060674254,0.045259965,0.056119684,0.063763333,0.030666111,0.010071798,0.051762362,0.037873747,0.070660442,0.045812285,0.052335226,0.05737355,0.059517258,0.066233551,0.068237887,0.078972132,0.070664764,0.065787255,0.037353376,0.008993189,0.012979474,0.068384678,0.052546764,0.068840206,0.065459729,0.032701075,0.070096459,0.039423781,0.070809734,0.072044091,0.063048352,0.073133463,0.009541949,0.06044964,0.010411938,0.034894846,0.041525953,0.037927259,0.025080117,0.085185707,0.041617091,0.035675123,0.060813438,0.061095532,0.053471181,0.075846687,0.02780039,0.071790281,0.057072699,0.051648929,0.041080551,0.037249077,0.059577348,0.053568114,0.062208645,0.036821177,0.052572833,0.060491157,0.085484745,-0.012554661,-0.035022328,-0.071768842,-0.053456035,0.014256511,0.027526797,-0.23843268,-0.087203224,-0.115490602,-0.231230475,0.028880362,-0.045330834,0.048592321,-0.285231401,0.035154824,0.037608023,-0.047620321,-0.202488046,-0.030688667,0.067928663,0.012905643,-0.140625824,-0.057607641,0.047964756,0.014878318,-0.093738495,-0.060353112,-0.069300249,0.003887803,-0.052399034,-0.037942854,0.030220117,-0.027929422,0.003155069,-0.049076233,0.016839482,-0.028500609,-0.019930823,-0.028887545,-0.250834025,0.038065501,-0.277847475,-0.26729928,0.036337747,0.006656057,0.017853387,-0.026924841,-0.179899958,-0.175819356,0.068015607,0.031212364,-0.134703454,-0.087549464,-0.023892673,0.044248645,0.016508457,-0.117707787,-0.098860032,-0.08371794,-0.035068014,-0.014028864,-0.083411577,-0.104042917,-0.05769504,0.041902018,0.001184677,-0.245133837,-0.014120877,-0.096212611,0.030988145
0.083915076,0.079876373,0.043889765,0.094407625,0.059799791,0.073922604,0.07892078,0.086812458,0.077890693,0.079074496,0.0584128,0.060635388,0.065342786,0.057289259,0.081883562,0.043881765,0.054498668,0.058011521,0.108819176,0.11835829,0.041420769,0.068247228,0.074421964,0.0790774,0.075902421,0.074667849,0.095278727,0.062731916,0.031324486,0.07169815,0.076443442,0.085185105,0.101888884,0.062724918,0.082465451,0.106465803,0.068371709,0.044262442,0.089419447,0.093315382,0.078492368,0.073754071,0.095960592,-0.008032374,0.079516734,0.030171124,0.055856485,0.051467215,0.099584416,-0.050951777,0.082291312,0.083835781,0.088173002,0.084864733,0.066539108,0.063834828,0.096566291,0.065844334,0.078589679,0.043254087,0.063524619,0.06076152,0.071222083,0.085317322,0.082537746,0.084445472,0.067335364,0.069060184,0.013326917,0.102294145,-0.06499816,-0.016285927,-0.063148935,-0.084618925,-0.053154211,-0.094125705,-0.125836003,-0.149969286,-0.173399991,-0.147740023,-0.047878731,-0.106677086,0.002796037,-0.143497724,-0.061371053,-0.022908433,-0.11385183,0.012786077,-0.096460267,0.087251998,-0.05606092,-0.076492177,-0.151393988,-0.05520204,-0.129121505,-0.102197535,-0.089053169,-0.103118557,-0.109486833,-0.059313836,-0.08087665,-0.023255103,-0.016236562,-0.114709479,-0.124692125,0.011771075,-0.089007689,-0.132558049,-0.072284932,-0.132941796,-0.031103928,-0.030566582,-0.057766061,0.077197669,0.016249642,-0.055642329,-0.062748114,-0.157915872,-0.008998268,0.093274631,-0.046439183,-0.107678653,0.004665597,-0.032142241,-0.007007553,-0.065022708,-0.012088951,-0.15872385,-0.16367279,-0.114773061,-0.112272743,-0.151302649,0.017083196,-0.110615678,-0.008316027,-0.056638546,-0.14687147,-0.003641838,-0.14900664,-0.098588697
0.053103936,0.050306391,0.05378063,0.055961388,0.056601485,0.054502581,0.053507653,0.054402402,0.054029222,0.047076512,0.055323473,0.04995167,0.053690114,0.052872356,0.057258713,0.053278471,-0.087198123,0.052212632,-0.01378217,0.052717949,0.048047175,0.053654196,0.056395601,0.054364486,0.051315536,0.042947327,0.049511538,0.050834114,0.044102321,-0.004892043,0.051607644,-0.070628069,0.014318565,0.055595351,0.055118058,0.037000614,0.053660227,0.054457471,0.052457136,0.055569146,0.054918955,0.053185909,0.052915137,0.052263664,0.050802478,0.011540829,0.050424031,0.049511868,-0.017685092,-0.075562397,0.052350847,0.055288651,0.031089746,0.053772721,0.05754031,0.051034089,0.050751512,0.047106931,0.05484725,0.052099759,0.055275627,0.052245438,0.050554896,0.050374826,0.04837392,0.050867678,0.051573062,0.05564888,-0.045981742,0.056795934,-0.011619477,0.039299204,0.04267224,0.050584691,-0.137160583,0.03415639,-0.182045746,0.048486653,-0.188606076,-0.168924805,0.043726294,-0.238095538,0.008539397,-0.089163193,0.043794113,-0.010584207,-0.182458722,-0.005900834,-0.001763823,0.052606259,0.025935994,0.046757005,0.026974781,-0.053811419,0.022609114,-0.219997283,0.021695729,-0.184519629,0.024396308,-0.06118303,-0.062227852,0.044385945,0.050575791,0.017176249,-0.199876322,0.048349615,0.053008099,-0.272357985,-0.24372331,-0.138676882,0.002241908,0.045485175,0.038097484,0.049851881,0.043473956,-0.009847888,-0.10485224,-0.054263582,0.036873821,0.046064531,-0.17376834,-0.076291273,0.051055471,0.048861475,0.017466775,0.014017897,0.042487057,-0.063581031,-0.198637264,-0.212031057,-0.185401065,0.031724467,0.042265597,-0.108183855,-0.016666334,0.04693899,-0.193968673,0.013182275,-0.183795694,0.039206986
-0.049904349,-0.058394139,-0.095054857,0.047486133,-0.029704826,-0.046041413,-0.022509575,-0.06743912,-0.0213085,-0.038038388,-0.05816428,-0.027192187,-0.056164456,-0.052751518,-0.04978184,-0.112007502,0.062941411,-0.014887947,-0.017581185,0.005265726,-0.055863628,-0.066640056,-0.097010951,-0.097313986,-0.076180381,-0.037983705,-0.036830824,0.002011253,-0.033639455,-0.086425903,-0.10726392,-0.032756493,-0.036391813,-0.080583635,-0.04850604,0.000511843,-0.075059119,-0.021081173,-0.062336906,-0.023931671,-0.035016182,-0.070484636,0.018235717,-0.000358564,-0.072117731,-0.04263846,-0.074762701,-0.071831944,-0.03946621,-0.035598313,-0.001817612,-0.035985874,-0.094098803,-0.031077387,-0.059738497,-0.045286272,0.020990579,-0.041280581,0.012113899,-0.084159378,-0.084087933,-0.071272325,-0.044902632,-0.038610909,-0.064458866,-0.018400632,-0.085152555,-0.064534906,0.01160815,-0.016786081,0.099661087,-0.031249129,-0.086748113,0.07192505,-0.079464013,0.148464764,-0.000463773,0.188130124,0.121544936,0.003627859,0.106061266,0.173729979,-0.06845495,0.091143668,0.159051681,0.095595554,0.107643472,0.125301281,0.131777033,0.02211265,0.022177921,-0.084552262,0.025488525,0.189970445,0.136333355,0.054444305,-0.001253172,0.088231898,0.135301057,-0.048726838,0.06999673,0.155058969,-0.064768231,0.159094573,0.096101215,0.104721842,0.14464931,0.237572285,0.024130245,-0.140027769,-0.055924305,-0.083474438,-0.092755683,-0.078148665,-0.099393484,0.072498199,0.025540606,-0.017276737,-0.040265468,-0.074422065,0.096514195,-0.028410074,-0.120514604,-0.055223252,0.058399296,0.062618261,-0.157653589,0.128593978,0.051994774,0.126147928,0.121557353,0.153001785,-0.117439756,0.089864946,0.076038943,0.073315912,0.089859485,-0.12239541,0.153163473,0.116340581
-0.055760766,-0.020275649,-0.086532389,0.053232313,-0.048085844,-0.061184296,0.015288442,-0.049391913,-0.031679741,-0.054890844,-0.050117453,-0.057174993,-0.049482816,-0.03422655,-0.023357406,-0.095006225,-0.022204195,-0.035665122,0.044522108,0.068468341,-0.050596335,-0.03620193,-0.064689468,-0.089019003,-0.066269734,-0.014779081,0.0225633,-0.012765588,0.009117303,-0.004958238,-0.06729228,0.031292154,-0.041732244,-0.060528082,0.011175559,0.073841169,-0.064162425,-0.03255364,-0.054555741,-0.043860566,-0.040822368,-0.113078834,0.075309633,-0.006435211,-0.102141844,-0.02118291,-0.098130485,-0.07691971,0.0513783,-0.118901043,0.012903251,-0.025338119,-0.002441915,-0.026091492,-0.067556924,-0.065750323,-0.018246869,-0.060392098,-0.029261726,-0.105718324,-0.098785312,-0.101294365,-0.055734196,-0.042617929,-0.059192516,0.015184353,-0.092653227,-0.082368262,0.054240064,0.035155304,-0.010672622,-0.001357237,0.000590641,0.005001778,-0.124986626,0.134397395,-0.118505291,0.125179095,0.093437156,-0.020389639,0.102797349,0.129133001,0.001905383,0.095930854,0.157373783,0.057105635,0.095877703,0.011683359,0.050322556,0.087630022,-0.058841031,-0.022220102,0.091312539,0.160366167,0.162377257,0.120259082,0.042556398,-0.030657448,0.18130142,-0.044296328,0.016103711,0.131517381,-0.109693865,0.082392172,0.179629551,0.037424816,0.188430087,0.18686091,-0.018555748,-0.202017825,-0.023430548,-0.084738893,-0.00691254,-0.058834424,-0.081399759,0.087056053,0.016224977,-0.095496504,-0.012495945,-0.064598092,0.158504395,0.039320594,-0.156726541,-0.030792032,0.064429154,0.004300679,-0.146595909,0.145497004,0.087630696,0.033637765,0.160283661,0.176840807,-0.085648887,0.176338683,0.040813527,0.027393124,-0.00275054,-0.158491755,0.062983068,0.177339708
-0.055852402,-0.030213747,-0.061639491,-0.033270724,-0.080014632,-0.092106974,-0.081890718,-0.013365352,-0.014284644,-0.04706585,-0.049357023,-0.0474956,-0.127154288,-0.036823058,-0.093038681,-0.064798845,-0.044839223,-0.121808836,-0.106291029,-0.074216642,-0.014641137,-0.082682606,-0.051187237,-0.037397201,-0.038055678,-0.075808346,-0.031099832,-0.03355404,-0.052460951,-0.030479673,-0.096352112,-0.084094386,-0.036314183,-0.074134182,-0.033339713,0.000240672,-0.103064017,-0.053789822,-0.106728639,-0.039682233,-0.067554993,-0.047443075,-0.056101445,0.035322803,-0.094058448,-0.145766337,-0.084273541,-0.087899933,-0.065031798,0.115282265,0.006287144,-0.066648729,-0.04231972,-0.06551948,-0.064774342,-0.099804195,-0.026856396,-0.10061498,-0.080863065,-0.033062725,-0.04850613,-0.083291736,-0.128672302,-0.026839138,-0.029975694,-0.078907761,-0.047572506,-0.073199076,-0.019210845,-0.014518138,0.036061253,0.052647347,0.068537904,-0.143026551,0.116909293,0.133542991,-0.119456106,0.035863619,0.103246485,-0.075352582,0.120005493,0.059852752,0.099410263,0.015348005,0.130272015,0.09997516,0.081140578,-0.261277753,0.105685868,0.071003621,0.129860838,0.075734975,0.107249495,0.139028456,0.087471109,0.104794893,0.10360787,-0.037929846,0.124355617,0.027507474,0.05186202,0.109095066,0.04040866,0.121906672,0.112289184,0.108239517,0.123561463,0.139547099,0.115360976,0.009396854,0.104907289,-0.009709787,0.038571433,-0.084420763,0.032990398,0.072716203,0.063957102,-0.051950731,0.054676327,-0.077400841,0.12296467,0.003366274,0.064279908,0.104486819,0.088246537,0.116579932,0.035466407,0.085236302,0.080368725,0.072520747,0.111073622,0.061063929,-0.203137976,0.079098198,0.085200999,0.119405414,0.054363244,0.092887099,0.027323215,0.103678646
0.064008081,0.051914147,0.053130344,0.035252001,0.092515447,0.057648344,0.078698772,0.070149909,0.085120087,0.014996784,0.034457592,0.088462834,0.040664806,-0.001466993,0.094162445,0.05007389,0.021741784,0.056337075,0.072770387,0.109740915,0.052107401,0.051152404,0.106020186,0.035846016,0.08598354,0.084925643,0.094192591,0.074481695,0.106266454,0.050097424,0.116748699,-0.003961487,0.080328105,0.036443302,0.118099328,0.081087376,0.080292137,0.087931094,0.063835202,0.041728535,0.097796046,0.058105164,0.122165816,-0.012626587,0.084480472,0.062931596,0.015515395,0.048388894,0.069155532,-0.151961206,0.059248887,0.0293694,0.075911557,0.081733204,0.093844219,0.090290954,0.088142317,0.010814556,0.066043318,0.079654058,0.049567724,0.003076254,0.062096218,0.056991614,0.057801184,0.042178681,0.069359298,0.072340522,0.004377869,0.112237429,-0.072942583,-0.067148082,0.008685936,-0.128074723,-0.104060516,0.02558335,-0.16702012,-0.054927624,-0.090855247,-0.17103806,0.016254628,-0.181790917,0.029150183,-0.21351099,-0.060223114,-0.041449723,-0.02937038,0.049376279,-0.165691948,0.110936089,-0.005860772,-0.074752861,-0.101919872,-0.159729192,-0.020082223,-0.129386654,-0.058292612,-0.100397674,0.076952119,-0.010203235,0.013733373,-0.079192081,0.00275108,-0.049952801,-0.090416342,0.015001069,-0.049814305,-0.150772349,-0.148947319,-0.141856255,-0.055585525,-0.032847879,0.004466324,0.055357231,0.041636893,-0.079761652,-0.147821466,-0.094640932,-0.03305349,0.02801721,-0.082843655,-0.126368723,0.005969453,-0.007341346,-0.040723108,-0.114098843,-0.057844925,-0.035796468,-0.096755974,-0.143331173,-0.113713354,-0.079885048,0.069335682,-0.126092043,-0.159321733,0.005401122,-0.13662069,-0.082641264,-0.114662332,0.109809501
0.067421489,0.057272926,0.048364118,0.025201101,0.058276994,0.061573556,0.051297945,0.0612254,0.073719213,0.044731035,0.048111868,0.041404066,0.056646393,0.054005874,0.056952621,0.042885085,-0.074106833,0.038449359,0.015679499,0.062696885,-0.110568941,0.026904544,0.017190072,0.076191502,0.065344911,0.024185755,0.072621113,0.049790276,0.008400921,0.014679246,0.0414171,0.004363328,0.013540106,0.071856275,0.035672887,0.041737539,0.052533586,0.068445425,0.050032573,0.049597572,0.062388992,0.078513626,0.062726092,0.030725047,0.052976468,0.046537015,0.02913774,0.037889139,-0.026221988,-0.218483258,0.05948595,0.049614495,0.03796687,0.041520214,0.043336618,0.058202078,0.051945669,0.045666569,0.058364129,0.044139324,0.05474875,0.056193294,0.049208879,0.025314047,0.061083736,0.039403532,0.070721684,0.060911096,0.062987918,0.054042003,0.005356554,-0.236311456,0.028868894,0.040086336,0.005284868,-0.170840843,-0.030494845,-0.000219073,0.037990566,0.034108283,-0.189899676,-0.031344036,0.057419135,-0.01567172,0.044609687,-0.123654184,-0.212781426,-0.000984894,-0.029031225,0.055251967,-0.258100004,-0.149141486,-0.048331742,0.018375506,0.03999682,0.012800832,-0.05431186,0.020801597,-0.090431192,-0.021739304,-0.043055463,-0.18986002,0.04509136,-0.042802965,-0.284105877,0.033638571,-0.322802126,-0.241586,-0.151489892,-0.032799891,0.048238876,0.001069765,0.019929631,0.058145307,0.035235341,0.025790243,-0.07968301,-0.047492104,0.031630794,0.043430515,0.035487095,0.028655575,-0.074100756,0.036828754,0.053338526,0.024980903,0.026466706,0.032765569,0.017527898,-0.018753575,0.006940355,0.01781437,-0.02043791,-0.289719242,-0.030981688,-0.147360807,-0.078217801,-0.003570499,0.012216599,-0.020855319
0.023273235,0.066147902,0.031875348,0.104028488,0.081304676,0.059986691,0.09316979,0.09588769,0.106506513,0.097878685,0.078572987,0.05227205,0.033903078,0.085012842,0.059969218,0.045657698,0.144581815,0.042805104,0.076108077,0.072939855,0.0977303,0.090150839,0.025807596,0.070345489,-0.01929837,0.06491825,0.093336918,0.057658935,0.024297181,0.027494515,0.006159395,0.006625663,0.054058348,0.060729312,0.079134857,0.102424505,0.028994229,0.030735292,0.060449725,0.111954204,0.11073755,0.061800556,0.122811552,-0.102271225,0.048019545,0.012988423,0.022799382,0.035134648,0.028217226,0.018613969,0.075242167,0.100185101,0.044626916,0.054348872,0.046300233,0.041430491,0.062365481,0.087432935,0.054095394,0.054625275,0.113704458,0.08735974,0.039787382,0.078746064,-0.006554703,0.043231197,0.067464271,0.061568699,0.066501908,0.052019598,-0.131167953,-0.046536356,-0.140240614,-0.008587707,-0.051790465,-0.016029992,-0.102543221,-0.050783387,-0.055825161,-0.05398124,-0.114291913,-0.098354737,0.063714238,-0.071200547,0.052366036,-0.116704816,-0.092676675,0.116894821,-0.238962922,0.046621071,-0.011563589,-0.013851342,-0.116866654,0.053987153,-0.169422416,-0.066126758,-0.048016635,-0.112512015,-0.148659665,0.016632256,-0.043645653,-0.1174467,-0.098053866,-0.006884941,-0.156131767,-0.179567881,-0.082720043,-0.197675768,-0.068658275,-0.138587636,0.046509871,-1.63E-05,0.050869111,0.06697182,-0.076561479,-0.074269837,0.101822937,-0.132252244,0.004361362,0.018475533,-0.034422184,-0.130412206,0.022373168,-0.098385323,-0.081212063,-0.009322446,-0.050381261,-0.111391841,-0.124085861,-0.119255687,-0.025019152,-0.063153968,0.001817184,0.159767427,-0.117549512,-0.108706617,-0.087881522,-0.069396638,-0.152537759,-0.099822776
