w1,w2,w3
0.40068,0.034672,0.095095
0.31974,0.015719,0.065909
0.44147,0.064599,0.12682
0.34436,0.016742,0.070827
0.42672,0.053745,0.11532
0.31319,0.013739,0.063175
0.39991,0.03951,0.099007
0.38396,0.033961,0.091741
0.41322,0.043181,0.10427
0.33495,0.01681,0.06933
0.42091,0.049088,0.11047
0.39724,0.040639,0.099509
0.40205,0.038447,0.098473
0.43975,0.063169,0.12534
0.32888,0.015495,0.067231
0.36103,0.024901,0.080392
0.37859,0.03031,0.087807
0.44731,0.063458,0.12683
0.43896,0.060951,0.12335
0.37473,0.030613,0.087422
0.40945,0.042179,0.10281
0.40178,0.040593,0.10022
0.32453,0.01598,0.066916
0.35369,0.020803,0.075757
0.41836,0.04417,0.10594
0.35934,0.023382,0.078844
0.34404,0.020913,0.074257
0.41325,0.045232,0.10599
0.43891,0.062572,0.1247
0.45199,0.06877,0.13203
0.40138,0.035843,0.096187
0.44039,0.062103,0.12455
0.35747,0.020708,0.076302
0.35629,0.01883,0.074539
0.31917,0.014153,0.064506
0.35893,0.022616,0.078136
0.343,0.017741,0.071436
0.3775,0.028484,0.086101
0.45112,0.065832,0.12944
0.4422,0.060501,0.12351
0.41876,0.048249,0.10941
0.40797,0.038073,0.099137
0.32418,0.013983,0.065192
0.39012,0.030363,0.089753
0.35305,0.02048,0.075383
0.40682,0.037197,0.098217
0.38808,0.036384,0.094444
0.30592,0.011947,0.060478
0.40544,0.042404,0.10234
0.42917,0.052159,0.1144
0.39841,0.034943,0.094946
0.44054,0.061102,0.12374
0.42832,0.051929,0.11407
0.42092,0.051174,0.11221
0.38185,0.029891,0.087995
0.37378,0.027913,0.085011
0.25602,0.029301,0.089362
0.26491,0.037109,0.097456
0.27868,0.040906,0.10389
0.24137,0.032405,0.087761
0.27227,0.038557,0.10047
0.22314,0.024843,0.077373
0.28073,0.037322,0.1018
0.23215,0.028524,0.082466
0.22723,0.026335,0.079554
0.22529,0.024655,0.077805
0.29166,0.045076,0.1104
0.29249,0.043405,0.10939
0.2259,0.026187,0.079093
0.23698,0.029189,0.084235
0.24176,0.031505,0.087202
0.24157,0.033682,0.088753
0.22825,0.028308,0.081275
0.23725,0.030496,0.085266
0.23318,0.026708,0.081403
0.23141,0.026776,0.080986
